species,Protein,asymptote,mid,m,Tm,r2
Saccharomyces cerevisiae cell,P30619,9.233380596405209e-19,49.39008526342016,739.0596201525045,49.39403844595952,0.9256865829289087
Saccharomyces cerevisiae cell,Q00246,1.8454579901150035e-05,43.75804439912759,9509.803004776895,43.64143923778852,0.9573742426815544
Saccharomyces cerevisiae cell,Q00245,4.863158289665878e-15,51.607577379425756,473.5377181462286,51.612055964631736,0.9401386005170171
Saccharomyces cerevisiae cell,Q04439,0.08777100857240855,47.855239812727106,783.2783773850193,48.40916324272791,0.9040960834272133
Saccharomyces cerevisiae cell,Q04432,0.3906851759121301,40.66897041739581,996.7522592586122,43.49250885487928,0.9252385010043145
Saccharomyces cerevisiae cell,P32783,0.43751539069391987,47.36125899324888,1768.8533896313293,50.301768192007344,0.9600461025336418
Saccharomyces cerevisiae cell,P32787,0.045979295649305786,51.664186318823226,759.9717519131503,51.99178913674663,0.9315352260987808
Saccharomyces cerevisiae cell,P19073,0.003408526931906091,54.954627287005685,4216.61900856559,54.954632720738346,0.9679813045356414
Saccharomyces cerevisiae cell,P40169,0.2785873621420607,41.72168097146477,1345.9403260758945,42.824123179319244,0.9847333311383378
Saccharomyces cerevisiae cell,P40161,6.622431068338994e-24,52.47876563820396,828.1864832953967,52.48358265187452,0.9072846268973007
Saccharomyces cerevisiae cell,P38616,0.34347758960215996,46.27965509776518,9999.975414096503,46.72941840671649,0.9433807275438143
Saccharomyces cerevisiae cell,P38961,0.2882428993038909,43.31540270340005,5995.52155214883,43.768624419928045,0.9450514156296939
Saccharomyces cerevisiae cell,P15180,0.0684258608118193,47.970339690882966,1154.0602196424036,48.274979943489335,0.9106998208477355
Saccharomyces cerevisiae cell,P48558,0.21934819508467737,49.911472656099534,343.7480367513015,54.48828251606905,0.9670102133241939
Saccharomyces cerevisiae cell,P16521,0.003897008754894384,47.51949819037153,751.7141990978707,47.54538839595071,0.9536511895831334
Saccharomyces cerevisiae cell,Q12512,0.05842643589081228,54.84792054747036,539.8964806158958,55.57282211212618,0.9223207755480903
Saccharomyces cerevisiae cell,Q12514,0.04524401376369329,48.881214656420426,571.037225717201,49.32906634066194,0.9373650428904792
Saccharomyces cerevisiae cell,Q00764,0.17199858964131887,52.619236173292315,2389.28993268648,53.127434763672554,0.9184571199991565
Saccharomyces cerevisiae cell,P53261,0.06702358804881343,43.64845645518185,843.420085411841,43.976544545511054,0.9335977479164369
Saccharomyces cerevisiae cell,P08524,0.058630020397436165,52.65673955391304,9999.999231694037,52.648700452877414,0.914129994015713
