species,Protein,asymptote,mid,m,Tm,r2
Danio rerio Zenodo lysate,A0A0A0MPG3_crygn2,0.23090273197886182,46.161530484319556,1267.2465308781132,47.24846141623714,0.9039816268806192
Danio rerio Zenodo lysate,A0A0J9YIW4_zgc:101723,0.22735877930813742,47.9142802667185,1354.7699890660792,48.96717655086647,0.9403003642026422
Danio rerio Zenodo lysate,A0A0N4SU14_si:ch211-251f6.7,4.010941713264353e-20,56.06185203534378,449.6921792160678,56.06297225597961,0.9825630699762814
Danio rerio Zenodo lysate,A0A0R4IBQ0_ctsd,0.4965975921927389,51.01643946073919,3656.740424420823,54.90690433747161,0.9350229730104083
Danio rerio Zenodo lysate,A0A0R4ICN8_syncripl,0.41049002648428556,45.808632043925726,1224.3845498234718,48.966603025005725,0.962449146381144
Danio rerio Zenodo lysate,A0A0R4ICP0_si:ch1073-205c8.3,0.42760007720709303,53.226406928127766,849.069283747738,60.58806307471633,0.9085646953325779
Danio rerio Zenodo lysate,A0A0R4ID52_arr3b,0.3782949376682495,48.15157868208322,2044.229946560834,49.84539763698535,0.9017892733670718
Danio rerio Zenodo lysate,A0A0R4IE20_ahsa1b,0.4281206153958544,51.75081736000958,854.4597036745766,58.66443909738938,0.9733170712040126
Danio rerio Zenodo lysate,A0A0R4IGL6_hectd1,0.46706889718864575,46.70005278803191,1141.52850541843,52.59680163041394,0.9081260111632943
Danio rerio Zenodo lysate,A0A0R4IKL1_pcna,0.3168096271807437,50.05408110442953,1118.734407426138,52.436428256502296,0.9724693033575792
Danio rerio Zenodo lysate,A0A0R4IKN3_anxa5b,0.2929129847521723,49.17533625459223,1687.6142137747738,50.510951157999074,0.9802137056269172
Danio rerio Zenodo lysate,A0A0R4IP07_eef1g,0.28943275242067146,46.034865943975404,1768.6291709549278,47.11423747579615,0.920771625919292
Danio rerio Zenodo lysate,A0A0R4ISB3_anxa3a,0.13125626941015794,43.93572710820199,2083.932828449701,44.24568949990514,0.9909477030786714
Danio rerio Zenodo lysate,A0A0R4IU19_si:ch211-93f2.1,0.4247663890480689,49.316292547487556,1450.8864726439326,52.75109765608369,0.9058199429684073
Danio rerio Zenodo lysate,A0A0R4IV21_prkacbb,0.25171261337734363,46.879312549973186,1100.2830087754205,48.34358745510291,0.9430924518818866
Danio rerio Zenodo lysate,A0A0R4IVD0_arid1aa,0.2738817616112411,51.15371256349942,2588.4419475022855,51.97257692002211,0.9899584320222827
Danio rerio Zenodo lysate,A0A0R4IVL7_ccbl2,0.27565843584913735,45.0925879379886,780.2624223889846,47.30113290362604,0.9475938532410025
Danio rerio Zenodo lysate,A0A0R4IWG3_metap1,0.41950942052847573,49.502827197182995,1702.2827031712875,52.33127879599872,0.9665552009589998
Danio rerio Zenodo lysate,A0A1D5NSB3_puf60b,0.12343458186313384,48.8574120585789,1563.1000190123702,49.31063123959735,0.9898477884990855
Danio rerio Zenodo lysate,A1A5H8_yes1,0.30325476027914705,49.91720211008661,1443.321183111407,51.61333747396312,0.9717869668284693
Danio rerio Zenodo lysate,A2CE51_eef2l2,0.21411201351703624,50.110174681286196,1472.521019536692,51.09078170192049,0.9883809529859109
Danio rerio Zenodo lysate,A3KQE8_prps1a,0.47835473981323007,50.36176424536838,1734.5299008473069,55.48132143570918,0.9417131066581869
Danio rerio Zenodo lysate,A5PMP1_capn1b,0.3726656291143509,51.46984133775454,1755.4480251788473,53.66519835032386,0.9159206809340409
Danio rerio Zenodo lysate,A5PMV7_ppp2r1a,0.27799173378011127,47.50022504481546,1208.62674437402,49.07411086165372,0.9714002997376091
Danio rerio Zenodo lysate,A7MCK9_sec22bb,0.4435868116161219,51.87591288327983,1499.4202975842911,56.133662027333095,0.9685804648437492
Danio rerio Zenodo lysate,A7MCP2_zgc:174689,0.23939547745924175,50.963420165440326,1857.5802885930195,51.90040443487201,0.9838507915615331
Danio rerio Zenodo lysate,A8E5E5_anxa3b,0.38880545241097964,46.57589105423485,1568.086869132566,48.79195972114459,0.9731755860379712
Danio rerio Zenodo lysate,A8E7L1_anxa13l,0.24133042670858487,46.21993446422478,1585.0995547511502,47.14368284670655,0.9858049255422541
Danio rerio Zenodo lysate,A8KB14_idh1,0.4719363487064035,45.58732486635332,1118.7169734903653,51.69501498234753,0.9295501434064528
Danio rerio Zenodo lysate,A9JRE6_dmgdh,0.3598453326564046,50.746120506097306,1999.4741316443533,52.494509382950206,0.9636399579315508
Danio rerio Zenodo lysate,A9JRF7_si:ch211-93f2.1,0.32090852743757886,50.01568547028658,1036.8508832155178,52.646387193808756,0.964315285010743
Danio rerio Zenodo lysate,A9JT49_pepd,0.41630090790176355,51.18363152053113,1566.0777736265957,54.40804595561027,0.9532545166623555
Danio rerio Zenodo lysate,A9JTC4_memo1,0.33070240986584537,48.09227307791966,1523.6783730656175,49.8192040160332,0.9516086909532173
Danio rerio Zenodo lysate,B0S5S6_pdia5,0.4419676087613323,50.55351934001536,1164.4992075068815,55.79585195022033,0.9514770979771817
Danio rerio Zenodo lysate,B0UYA2_cryl1,0.37204136174966834,47.5550100388731,1523.2621738321018,49.71062989025839,0.9635322028468996
Danio rerio Zenodo lysate,B2GPT2_eif3m,0.2736520060961887,43.206701109595734,1253.020493184714,44.45623224498968,0.9113305872610368
Danio rerio Zenodo lysate,B2GPU0_atp6v1c1a,0.2664776802023844,46.99703206783841,1034.9874768020065,48.700329495213424,0.9627078164827891
