Protein,species,asymptote,mid,m,Tm,r2
A0AVT1,Homo sapiens K562 cell,0.05815005902155798,49.56033315117449,1519.1550701873832,49.76510178577406,0.9994818500089409
A0AVT1,Homo sapiens K562 cells,0.0264745681397837,49.407640844315765,1914.996659270064,49.48519610868036,0.9990508468308478
A0AVT1,Homo sapiens Jurkat cells,0.035040738394183,49.60482978881322,1875.9437057798905,49.70331005381552,0.9985937465941744
A0FGR8,Homo sapiens K562 cell,0.1552351202173662,49.244221204966884,743.6926297153093,50.498642390237926,0.995781365065152
A0FGR8,Homo sapiens K562 cells,1.8019702009528394e-20,55.21998362474035,939.7660020055944,55.22383396803217,0.965854741541722
A0FGR8,Homo sapiens Jurkat cells,1.8464475569267365e-22,53.58547849074648,714.8903309656938,53.58978157315154,0.9530338102153214
A0JNW5,Homo sapiens K562 cell,0.1497177316049802,51.93043060004755,1303.8402702712053,52.68876697905022,0.9950736999049918
A0JNW5,Homo sapiens K562 cells,0.0070435483081934,52.79554875672213,1310.5821421930018,52.82695283842798,0.9918602421322876
A0JNW5,Homo sapiens Jurkat cells,3.417096852692417e-15,53.50088157419916,1074.9793124580824,53.50552186756831,0.991983878580425
A0MZ66,Homo sapiens K562 cell,0.11668835066000974,48.45514754394822,1199.6804260056604,48.98153012456662,0.9966996256264086
A0MZ66,Homo sapiens K562 cells,0.0278498384952345,47.329052483425535,1563.1924083759104,47.42042019723925,0.9985784308473395
A0MZ66,Homo sapiens Jurkat cells,0.044334228135416,47.51487106457861,1522.970027201526,47.65849926671216,0.9982182183033588
A2VDF0,Homo sapiens K562 cell,0.37917088504302887,53.07843044695242,1396.2940005438188,56.123490659933516,0.9919525120734957
A2VDF0,Homo sapiens K562 cells,0.1178423370216707,54.94470129802768,710.2574937181037,56.11494973373698,0.985070492575028
A2VDF0,Homo sapiens Jurkat cells,9.326461884101918e-20,60.93982597467261,755.1524167855724,60.94057983858606,0.9264488401913342
A3KN83,Homo sapiens K562 cell,0.045160465445892334,50.15799218165002,1448.759005451777,50.33223244687086,0.9976573343911729
A3KN83,Homo sapiens K562 cells,0.0124656720483731,50.10204822309012,1371.1066036214484,50.15340656286065,0.9904478726709364
A3KN83,Homo sapiens Jurkat cells,0.0222166049650899,49.625408278644656,1486.348733077403,49.7038812855452,0.9972129171699322
A4D1P6,Homo sapiens K562 cell,0.12310308778803324,48.20093026898638,1053.9412772920398,48.83778547246634,0.9960151466848913
A4D1P6,Homo sapiens K562 cells,0.0787061206407174,47.03954218603363,1803.9441262574364,47.2658462073246,0.9924854334839844
A4D1P6,Homo sapiens Jurkat cells,0.0744151442323411,45.48850837550504,1302.083988376499,45.75183055940117,0.9912618819959904
A5D8V6,Homo sapiens K562 cell,0.1010864262894764,49.80464069937586,1207.9295830835913,50.28373330466935,0.9987280755306752
A5D8V6,Homo sapiens K562 cells,0.0065070975589663,48.59174979984357,969.4170500093852,48.62797244591073,0.9961122755476188
A5D8V6,Homo sapiens Jurkat cells,0.0739782028986487,49.314581183164805,1132.0453337083582,49.66827328339102,0.992159481401528
A5YKK6,Homo sapiens K562 cell,0.05707436953542065,48.82886685069261,1011.3077466511556,49.120826164574794,0.9971328558799187
A5YKK6,Homo sapiens K562 cells,0.0268517726653077,49.51353185828449,1685.0425902303057,49.59924683223241,0.9971664868876644
A5YKK6,Homo sapiens Jurkat cells,0.0245547035667242,48.88348268219148,1245.7378579925758,48.98036534475383,0.9977447426942786
A6NDU8,Homo sapiens K562 cell,0.0518803035524994,48.64548810954713,1512.8305521677462,48.819862174377455,0.9928536776319823
A6NDU8,Homo sapiens K562 cells,0.0077778203870882,48.16978544306333,1405.561168598172,48.202148717746496,0.9960127379258276
A6NDU8,Homo sapiens Jurkat cells,0.0238956962380909,48.64217980970822,1375.7490860375256,48.72946180985957,0.997218549186846
A6NED2,Homo sapiens K562 cell,0.12085473211067538,52.33114115919428,1543.7302248924568,52.83235160991589,0.9975102384734567
A6NED2,Homo sapiens K562 cells,8.321231919816178e-16,52.4994020565375,986.7137655026849,52.50414185365892,0.988367349934917
A6NED2,Homo sapiens Jurkat cells,0.0220227758582881,53.21326086196501,1190.1959878076486,53.32685718310053,0.9933118805559952
A6NHL2,Homo sapiens K562 cell,0.17272414612535752,52.46410806227015,1068.7037600030894,53.59235198973664,0.9852845651941944
A6NHL2,Homo sapiens K562 cells,1.8848207336108255e-20,52.65333469945963,704.606629802428,52.65725026105167,0.9783771620046416
A6NHL2,Homo sapiens Jurkat cells,7.921152316941403e-19,55.81343783514348,925.5607756263232,55.815444418163565,0.9915043637749592
A6NHX0,Homo sapiens K562 cell,0.44134616619675127,52.41307902361276,1638.8362615754527,56.31510139350037,0.9932977395725776
A6NHX0,Homo sapiens K562 cells,1.1055973750723624e-26,60.71555863976541,1500.8450849896112,60.71767667860202,0.9554873612115552
A6NHX0,Homo sapiens Jurkat cells,2.5610082564671232e-21,59.06004612649066,1567.0206729856002,59.06181987001628,0.9773638896809834
A6NHX0,Homo sapiens Jurkat cells,1.7149249121552924e-18,56.03345034728358,1164.639099367163,56.03436635167368,0.99385595219471
A6NIH7,Homo sapiens K562 cell,0.11928643279037665,48.670286728167,1059.6788778373968,49.29881043547614,0.998002785002408
A6NIH7,Homo sapiens K562 cells,0.0589394602646333,48.71730822401264,1203.419675720126,48.966469638332825,0.9977013158333752
A6NIH7,Homo sapiens Jurkat cells,0.0630567187250802,49.95351718339697,1022.796432601404,50.29255603190316,0.9975949805967882
A8MPS7,Homo sapiens K562 cell,0.10144773335081049,51.50942093071482,1034.5914128019306,52.10203787566614,0.9913475110666142
A8MPS7,Homo sapiens K562 cells,3.500045240119065e-25,51.17073312306373,888.4835497023602,51.17437350971132,0.99497402063114
A8MPS7,Homo sapiens Jurkat cells,2.0882862070155922e-15,53.52505704615454,824.4108974119647,53.5296138982118,0.9894954534952092
O00116,Homo sapiens K562 cell,0.17461953748613018,52.40235121854843,3466.600687553647,52.76109104805722,0.9239353208516417
O00116,Homo sapiens K562 cells,0.0842354852839922,52.72335006834589,9999.99999999265,52.723570833961226,0.9914946656035896
O00116,Homo sapiens Jurkat cells,0.1117851301674929,52.89425037557283,9999.99999355638,52.94553972945411,0.941668115668105
O00139,Homo sapiens K562 cell,0.06964377566811707,49.623301840698225,1467.2438619184572,49.878483302752855,0.999549462451035
O00139,Homo sapiens K562 cells,0.0233133100453556,48.7293970043199,1379.6038325818308,48.8132014231694,0.998773964546438
O00139,Homo sapiens Jurkat cells,0.0313382900627357,49.532653860339394,1489.4045380645448,49.64437622187178,0.9968240558547992
O00148,Homo sapiens K562 cell,0.048350268078397485,47.05895802445769,1109.110184418766,47.271263468322466,0.9918115730427183
O00148,Homo sapiens K562 cells,0.0329230489973728,46.64731600405404,1386.717258317539,46.75718101432663,0.9986463077599602
