Protein,species,asymptote,mid,m,Tm,r2,ogt
A2ADA5_Pusl1,Mus musculus liver lysate,0.12726625102169184,55.99759987353849,1984.9505629784408,56.48160817399247,0.9172286524000047,37
A2ADA5_Pusl1,Mus musculus BMDC lysate,0.06696601904779692,47.17507406484547,954.0539312450353,47.52179305912214,0.9898341059095158,37
A2ADY9_Ddi2,Mus musculus liver lysate,2.4885325093191544e-15,53.265391869390726,728.0684295445469,53.26954105626874,0.9641757423231407,37
A2ADY9_Ddi2,Mus musculus BMDC lysate,0.053822946717436426,49.47788598357375,809.3932468727095,49.82816651319127,0.9983773488149118,37
A2AI05_Ndor1,Mus musculus liver lysate,4.043170851184526e-24,53.37022347139989,554.3812109663495,53.3747756947355,0.9489950884159253,37
A2AI05_Ndor1,Mus musculus BMDC lysate,1.6205615528643719e-25,51.607927951121326,482.44820463355796,51.61239926593631,0.9657131120137002,37
A2AIL4_Ndufaf6,Mus musculus liver lysate,0.04927747036023967,48.86176814772155,713.8334637582485,49.216607759697766,0.9926335176308344,37
A2AIL4_Ndufaf6,Mus musculus BMDC lysate,0.056046588153239846,48.23165707884993,803.31348395927,48.585503339394755,0.9984348159106293,37
A2ALW5_Dnajc25,Mus musculus liver lysate,3.1956206242296303e-17,45.907307497004844,407.71364259565786,45.90892111634811,0.9603823860641567,37
A2ALW5_Dnajc25,Mus musculus BMDC lysate,0.09709160602995119,44.68514686713084,695.3197642793418,45.32327470935216,0.9927829916142,37
A2AN08_Ubr4,Mus musculus liver lysate,0.038561263423198926,43.728802572774036,916.6741807286295,43.898445522029945,0.9892334117410126,37
A2AN08_Ubr4,Mus musculus BMDC lysate,0.1547526149437748,47.9063262205521,1570.5803334125096,48.474585913682745,0.9811245382701961,37
A2AR02_Ppig,Mus musculus liver lysate,1.0149611132808268e-15,55.76298969107618,519.6958145250612,55.76600652025442,0.9388601714889321,37
A2AR02_Ppig,Mus musculus BMDC lysate,0.3822905121887556,46.753558237901025,1054.1840006545947,49.96375085892019,0.9711771339393328,37
A2AWA9_Rabgap1,Mus musculus liver lysate,0.09794461129996176,41.64359888029915,645.401199702403,42.24661842989891,0.9524880627655875,37
A2AWA9_Rabgap1,Mus musculus BMDC lysate,0.085185757464063,46.52965501877668,558.4258155085013,47.27208741559944,0.9899659939917426,37
A2BDX3_Mocs3,Mus musculus liver lysate,0.12277775415375805,47.338854606958776,751.8802205836015,48.201436611419304,0.9758599285494829,37
A2BDX3_Mocs3,Mus musculus BMDC lysate,0.07049620195483355,46.23928713266806,1049.1077880440555,46.560395986141636,0.9986989317604632,37
A2RSX7_Tyw5,Mus musculus liver lysate,0.06424646789451204,51.30169843546501,1196.0601658192002,51.61352895235146,0.9826021839228836,37
A2RSX7_Tyw5,Mus musculus BMDC lysate,7.612646574902083e-24,48.536143409643856,541.4876323456679,48.54117691803415,0.9895018476716393,37
A3KGB4_Tbc1d8b,Mus musculus liver lysate,0.2772641556968286,42.325271477010766,1131.6323329365352,43.67441239590476,0.9267383489557235,37
A3KGB4_Tbc1d8b,Mus musculus BMDC lysate,0.0938617202533909,46.466815389515446,457.24773096559466,47.4777031901287,0.986356646684388,37
A6H5Y3_Mtr,Mus musculus liver lysate,2.0143949769373232e-22,48.42478049137796,331.8447673653058,48.42988332235628,0.9223968965457799,37
A6H5Y3_Mtr,Mus musculus BMDC lysate,6.879880382404692e-26,43.60411537270739,628.3138899756026,43.60912225128382,0.9646406328371956,37
A6H611_Mipep,Mus musculus liver lysate,0.02187281215159068,44.87260492474721,458.9269382471809,45.07156159580276,0.9496254769993066,37
A6H611_Mipep,Mus musculus BMDC lysate,0.05627944913947459,44.89351700349334,841.680971522431,45.18769681589342,0.9998869851014592,37
A6H8H2_Dennd4c,Mus musculus liver lysate,0.28087046434528873,45.19765023405679,1021.2109018350488,46.91830023928681,0.977044665104237,37
